,Numbers and their operations,Ratio and proportion,Percentage,Rate and speed,Algebraic,expressions and formulae,Functions and graphs,Equations and inequalities,Matrices,Set language and notation,"Angles, triangles and polygons",Congruence and similarity,Properties of circles,Pythagoras' theorem and trigonometry,Mensuration,Coordinate geometry,Vectors in two dimensions,Data handling and analysis,Probability,Student_id,Result
30,1,1,1,2,1,3,3,4,3,1,1,3,3,1,2,3,1,4,5,31,43
31,1,1,3,1,4,2,3,1,1,1,1,3,4,1,2,3,2,3,2,32,39
32,2,1,3,4,1,2,1,2,2,1,1,3,1,2,5,3,2,4,1,33,41
33,1,3,2,1,2,3,1,1,3,2,4,4,1,4,4,2,1,3,5,34,47
34,4,4,3,3,3,3,3,2,4,3,2,2,3,2,3,2,3,1,3,35,53
35,2,3,4,1,4,2,3,2,1,4,4,3,3,4,2,3,3,2,1,36,51
36,1,2,1,1,1,4,4,3,3,2,2,1,2,3,2,2,4,5,4,37,47
37,3,3,1,4,3,4,1,4,2,4,3,4,2,1,2,2,1,1,4,38,49
38,3,4,1,4,3,1,4,4,1,3,2,4,2,1,2,2,3,5,3,39,52
39,1,4,1,1,1,3,2,2,3,2,1,4,1,3,1,3,4,2,5,40,44
40,3,1,3,4,1,4,4,4,1,3,2,4,4,3,4,4,5,4,1,41,59
41,4,2,3,3,4,3,4,2,1,3,1,3,1,3,1,3,1,2,2,42,46
42,4,3,4,1,4,3,4,3,4,2,3,1,1,2,4,2,3,2,4,43,54
43,4,3,2,4,2,1,3,3,4,4,2,3,1,4,5,5,4,5,3,44,62
44,2,2,1,3,3,2,1,4,1,2,3,1,4,2,1,1,3,5,4,45,45
45,4,2,1,1,4,3,2,3,4,2,1,4,3,3,4,4,1,5,2,46,53
46,3,3,3,4,1,3,3,3,3,4,1,2,1,4,5,1,3,5,5,47,57
47,4,3,1,2,3,2,2,3,3,4,3,4,1,1,3,3,3,5,5,48,55
48,1,4,2,4,2,2,4,1,4,1,1,2,4,3,1,5,4,4,2,49,51
49,3,2,3,3,1,1,4,1,3,2,2,3,4,3,5,1,3,5,5,50,54
50,1,1,2,4,3,3,2,3,3,4,4,3,2,3,4,4,1,5,1,51,53
51,1,4,2,3,1,4,4,2,4,2,1,2,1,2,3,2,5,2,4,52,49
52,3,3,2,1,3,2,1,4,1,3,4,1,3,2,3,3,3,3,5,53,50
53,3,2,2,2,2,4,2,4,4,4,1,4,4,2,4,5,3,5,2,54,59
54,4,4,3,4,3,1,4,3,4,3,3,4,3,1,3,5,2,3,1,55,58
55,2,1,3,1,2,1,3,2,1,1,3,3,2,1,2,5,5,4,4,56,46
56,1,2,3,4,2,3,4,3,1,4,2,4,1,2,3,5,1,4,5,57,54
57,3,2,2,3,4,1,4,3,2,3,1,3,4,1,1,3,1,1,5,58,47
58,3,1,4,4,3,1,3,1,2,1,2,3,1,4,4,4,1,4,5,59,51
59,3,4,3,1,4,2,4,1,2,1,4,2,4,3,4,2,5,3,4,60,56
60,2,1,4,4,3,1,1,2,3,1,1,1,2,1,1,1,4,1,5,61,39
61,3,4,1,2,1,3,2,2,1,2,2,4,1,1,3,4,3,1,1,62,41
62,1,2,3,4,1,3,4,4,2,4,3,3,3,3,3,2,4,1,3,63,53
63,4,2,1,2,1,2,1,1,4,2,3,2,4,3,5,4,4,2,4,64,51
64,3,3,2,1,1,2,2,4,1,3,3,1,2,4,2,2,5,5,1,65,47
65,1,2,1,4,1,1,4,1,3,1,1,4,2,2,3,1,5,4,2,66,43
66,3,2,4,4,3,3,2,4,4,2,3,4,2,2,5,2,3,4,3,67,59
67,2,3,4,3,4,2,4,3,2,2,1,1,1,3,5,2,3,1,3,68,49
68,3,3,1,2,3,2,1,4,3,1,4,3,1,4,1,4,2,3,4,69,49
69,1,4,3,4,3,3,4,1,2,4,1,4,1,3,5,1,1,3,2,70,50
70,1,3,1,1,4,3,3,2,1,1,2,3,4,2,5,2,1,3,5,71,47
71,4,3,2,2,4,2,3,1,1,4,1,2,4,3,4,5,1,1,5,72,52
72,3,4,4,3,4,1,1,2,2,3,3,1,3,3,1,5,2,4,4,73,53
73,4,2,3,4,3,3,1,3,1,3,2,1,2,1,2,4,4,2,5,74,50
74,3,3,1,2,1,3,2,3,3,3,1,1,2,3,1,3,3,4,3,75,45
75,1,2,1,2,1,4,4,2,2,2,3,1,4,3,1,4,1,1,4,76,43
76,4,4,4,2,3,2,4,2,4,3,4,3,3,1,3,2,3,5,2,77,58
77,2,3,3,4,3,2,4,2,2,2,4,3,3,3,4,2,3,2,5,78,56
78,4,1,1,3,1,4,2,1,3,1,2,2,1,4,3,4,1,5,5,79,48
79,3,4,2,2,4,1,1,3,1,4,2,2,4,3,3,4,1,3,2,80,49
80,3,4,3,1,3,4,4,3,1,1,4,4,3,1,3,2,1,4,2,81,51
81,3,1,3,3,3,2,3,3,1,4,1,1,2,1,2,4,5,5,2,82,49
82,1,1,2,2,2,1,2,1,1,3,4,4,4,2,1,2,2,4,1,83,40
83,3,3,1,3,4,4,3,2,1,4,3,1,4,2,3,1,3,5,2,84,52
84,1,3,2,3,3,3,2,2,3,4,2,4,4,2,1,1,3,5,1,85,49
85,4,3,2,4,1,4,1,2,4,3,1,1,2,3,5,5,3,2,2,86,52
86,2,3,2,4,4,2,2,2,3,4,1,3,4,2,5,5,5,5,4,87,62
87,1,3,2,3,4,1,2,4,2,4,4,3,4,2,4,3,5,2,1,88,54
88,2,3,3,3,3,4,3,4,2,1,4,1,2,1,5,4,5,5,3,89,58
89,4,1,3,4,4,4,2,2,3,4,1,2,3,3,5,1,2,5,3,90,56
90,3,3,2,4,1,1,4,1,3,3,4,3,4,4,3,2,2,2,3,91,52
91,2,4,2,1,2,3,3,1,1,2,2,1,2,2,3,1,3,2,2,92,39
92,2,1,4,4,1,2,3,1,2,3,1,3,2,2,4,4,4,1,3,93,47
93,2,3,4,3,2,1,3,2,1,3,3,4,2,3,2,3,3,5,2,94,51
94,3,3,4,1,3,4,3,1,4,2,4,3,2,3,1,1,4,5,3,95,54
95,4,1,3,4,3,4,2,3,1,2,3,4,3,4,3,2,4,2,3,96,55
96,4,4,1,4,3,4,4,4,4,2,3,4,1,3,3,3,3,5,5,97,64
97,4,1,2,4,2,1,1,1,4,3,2,2,2,4,1,1,3,4,1,98,43
98,3,2,4,3,3,4,1,3,4,1,1,2,2,2,4,5,3,1,1,99,49
99,3,2,1,2,3,4,1,1,2,1,2,1,1,4,3,3,3,3,1,100,41
100,2,2,1,4,1,4,1,3,3,1,3,1,2,4,5,1,3,3,4,101,48
101,4,1,4,3,2,1,1,2,2,2,1,1,1,1,1,5,1,1,2,102,36
102,2,4,4,1,1,3,1,4,4,3,4,4,2,4,1,1,4,2,4,103,53
103,2,4,1,3,1,4,2,1,3,3,4,1,4,3,4,3,4,4,5,104,56
104,4,4,3,2,2,4,4,1,4,3,1,3,3,2,4,3,5,4,5,105,61
105,4,4,3,1,3,3,3,4,3,4,1,4,4,2,2,4,3,2,5,106,59
106,2,4,4,2,4,3,2,1,4,1,1,1,2,1,1,5,4,3,1,107,46
107,4,1,2,2,3,1,4,4,4,2,3,3,4,3,4,3,3,2,1,108,53
108,4,2,2,3,1,4,4,2,4,1,3,2,4,2,5,2,3,3,3,109,54
109,1,3,4,2,2,3,3,4,1,4,2,3,1,2,1,1,1,5,5,110,48
110,3,4,4,2,2,2,4,2,1,4,2,3,1,1,3,1,5,3,2,111,49
111,2,1,3,1,4,4,4,4,4,1,4,1,4,1,4,3,1,5,2,112,53
112,4,3,3,2,2,2,1,1,2,4,1,4,1,2,3,5,2,5,5,113,52
113,4,1,1,2,2,1,2,1,3,1,4,2,3,3,1,5,1,3,1,114,41
114,1,1,1,1,2,3,2,3,3,2,3,1,2,4,5,3,5,1,1,115,44
115,1,3,4,4,1,2,2,1,3,2,1,4,2,3,3,1,4,3,5,116,49
116,3,3,1,3,4,1,3,1,3,4,1,2,2,4,3,3,3,4,3,117,51
117,4,4,4,2,4,3,3,4,4,4,1,2,4,4,3,2,4,1,3,118,60
118,3,4,4,4,3,3,2,2,1,2,3,1,3,2,2,2,1,5,5,119,52
119,2,4,4,1,3,4,3,4,4,3,3,2,3,2,1,3,3,4,3,120,56
120,2,3,1,3,1,2,2,4,1,4,4,4,2,1,2,3,3,3,4,121,49
121,2,3,1,2,4,2,3,1,3,2,4,2,4,3,1,2,4,4,4,122,51
122,3,3,1,1,1,3,2,4,2,3,3,3,1,4,4,3,1,5,3,123,50
123,4,3,1,2,1,2,4,3,2,3,3,3,3,1,3,2,3,2,3,124,48
124,2,3,1,4,4,1,3,2,4,3,1,3,1,1,2,1,4,5,1,125,46
125,3,2,4,4,2,3,2,4,3,4,3,3,3,3,1,3,3,5,5,126,60
126,4,4,1,3,2,1,3,3,3,3,2,1,3,4,2,5,1,5,4,127,54
127,3,1,4,3,3,4,2,3,1,1,3,4,1,3,5,2,2,5,4,128,54
128,1,4,1,1,1,3,1,4,2,3,2,1,3,3,1,3,4,1,2,129,41
129,2,3,4,4,2,4,4,2,3,3,3,1,2,1,4,5,2,2,5,130,56
130,3,2,2,3,2,2,2,3,4,2,3,3,2,2,4,1,4,1,4,131,49
131,2,3,3,4,4,1,2,1,4,2,4,3,4,1,3,3,2,4,5,132,55
132,3,1,4,4,1,2,2,1,1,3,4,3,4,2,1,1,3,1,4,133,45
133,2,4,2,2,3,4,3,4,1,1,3,4,1,3,1,1,2,1,5,134,47
134,1,1,2,4,3,1,4,4,4,3,4,2,3,2,3,4,5,1,2,135,53
135,3,2,4,3,3,2,1,2,4,2,1,4,3,3,2,1,4,3,2,136,49
136,1,2,1,1,2,4,1,2,3,4,3,4,2,1,3,2,1,1,5,137,43
137,2,2,2,2,1,1,1,4,3,2,2,2,3,1,1,3,4,1,5,138,42
138,2,3,4,4,3,4,1,2,3,1,3,2,1,3,2,3,3,2,5,139,51
139,2,3,3,2,3,3,4,2,1,1,3,4,4,3,5,2,5,1,5,140,56
140,1,2,2,2,1,3,1,2,2,2,2,2,2,1,2,5,2,1,2,141,37
141,2,1,2,3,1,2,4,4,1,1,2,3,1,4,1,4,1,1,4,142,42
142,3,2,4,4,4,4,2,1,4,4,3,4,2,1,1,4,3,4,5,143,59
143,4,3,1,1,3,2,3,1,1,2,2,3,2,3,1,5,1,5,2,144,45
144,1,3,3,4,4,3,1,3,4,1,1,1,3,3,1,5,2,1,5,145,49
145,3,4,4,4,2,1,4,2,1,4,3,2,4,1,3,1,5,5,4,146,57
146,1,3,2,3,3,4,3,3,4,2,2,4,2,2,2,5,4,1,2,147,52
147,4,4,1,2,3,2,4,1,2,1,1,4,3,4,4,4,4,2,1,148,51
148,2,1,3,1,1,3,1,4,3,4,4,1,4,3,3,3,3,4,5,149,53
149,1,2,4,2,3,3,2,1,2,1,1,2,4,3,1,3,3,3,5,150,46
150,1,3,4,4,3,4,2,1,3,1,1,3,3,1,4,3,1,5,4,151,51
151,3,4,1,3,2,1,3,1,3,1,1,1,4,2,1,2,2,4,1,152,40
152,4,2,2,1,4,2,4,2,2,1,2,3,2,3,5,2,1,2,2,153,46
153,2,3,1,3,1,4,3,3,4,1,2,2,3,2,1,4,2,5,5,154,51
154,2,1,1,2,2,3,2,2,2,3,1,2,1,3,4,4,3,5,4,155,47
155,4,2,3,1,3,3,1,1,3,3,3,4,1,1,3,3,1,3,4,156,47
156,3,2,4,2,4,3,1,4,4,2,3,2,2,4,4,3,3,4,4,157,58
157,4,2,3,4,1,3,4,2,4,2,1,3,2,2,5,1,1,5,4,158,53
158,4,3,1,3,4,2,4,3,3,4,2,4,2,2,3,3,4,4,3,159,58
159,4,3,4,1,4,3,2,4,1,2,4,4,3,1,2,5,5,3,1,160,56
160,1,1,4,3,1,1,4,4,1,2,1,2,2,1,1,5,3,2,3,161,42
161,2,4,3,3,1,1,3,1,2,4,1,3,4,3,2,2,2,2,3,162,46
162,1,3,1,1,1,2,2,3,4,3,1,2,2,1,5,2,1,4,2,163,41
163,2,1,4,1,3,2,1,2,3,3,4,2,4,1,3,4,4,3,4,164,51
164,1,4,3,4,1,4,4,4,1,4,4,3,3,1,2,1,1,5,2,165,52
165,2,2,1,4,3,3,2,2,4,3,2,1,4,1,5,1,4,4,4,166,52
166,3,4,1,4,2,2,4,2,1,3,2,3,1,4,4,3,4,5,4,167,56
167,3,3,3,4,2,3,3,3,1,1,1,2,1,2,1,5,1,4,1,168,44
168,4,4,3,2,2,4,4,2,1,3,3,2,3,1,5,1,5,3,1,169,53
169,1,4,2,2,1,2,2,3,3,2,3,4,3,2,5,5,2,5,2,170,53
170,1,2,2,3,3,2,3,2,4,2,2,3,2,1,4,2,4,2,2,171,46
171,4,2,4,2,1,2,3,2,1,2,4,2,2,1,1,5,5,4,3,172,50
172,2,1,1,4,4,4,4,3,4,4,1,4,4,2,1,3,1,4,5,173,56
173,3,1,3,2,4,2,2,1,2,2,1,4,4,4,2,3,4,5,1,174,50
174,2,3,4,2,4,4,2,4,3,1,3,3,1,4,3,3,3,4,3,175,56
175,3,2,2,1,4,2,1,2,3,3,3,1,2,1,2,5,1,3,1,176,42
176,4,3,2,3,1,3,1,2,3,2,2,3,3,2,1,1,2,4,4,177,46
177,2,3,3,2,2,4,1,3,4,2,2,3,3,4,5,5,2,1,1,178,52
178,3,1,2,1,2,1,1,3,2,2,3,2,2,4,2,5,2,3,4,179,45
179,4,4,3,4,2,1,4,3,4,3,3,2,3,4,4,3,1,4,3,180,59
180,2,2,1,2,2,4,4,3,3,2,1,1,4,3,2,4,3,2,4,181,49
181,2,1,1,1,2,4,1,3,2,1,1,4,3,1,3,2,3,3,2,182,40
182,1,3,4,1,4,1,2,2,1,1,4,3,1,2,2,2,4,1,2,183,41
183,4,1,3,3,3,4,4,1,2,2,1,4,4,2,5,1,2,1,2,184,49
184,4,4,3,3,1,4,2,2,1,1,2,3,1,4,1,1,1,3,4,185,45
185,1,4,4,3,2,1,1,3,2,3,2,3,1,1,4,4,2,1,4,186,46
186,3,1,1,1,3,3,3,3,1,1,4,3,1,2,2,4,3,3,5,187,47
187,3,4,3,2,3,3,1,4,3,4,4,4,4,3,5,1,3,4,5,188,63
188,1,2,3,4,4,4,4,4,1,1,2,2,1,1,2,3,2,5,2,189,48
189,1,2,1,4,2,1,2,3,3,1,1,3,2,2,2,3,4,5,1,190,43
190,2,4,2,3,1,1,2,3,3,3,4,3,2,1,2,4,5,4,5,191,54
191,2,3,3,2,4,1,4,4,2,2,1,1,2,1,5,2,3,4,3,192,49
192,4,2,3,3,4,4,1,3,1,1,2,2,3,1,5,2,1,4,1,193,47
193,4,3,3,4,4,4,1,4,1,2,3,1,4,1,3,5,4,3,1,194,55
194,4,2,2,1,4,1,4,4,3,4,4,3,2,2,4,2,3,1,2,195,52
195,2,1,1,1,4,1,1,4,1,4,3,4,4,1,2,4,5,5,1,196,49
196,4,1,4,4,1,3,4,1,4,4,2,3,3,4,2,4,1,2,1,197,52
197,1,3,1,2,2,3,3,1,2,4,3,2,2,3,5,5,2,5,5,198,54
198,2,4,2,2,1,2,1,3,2,4,1,3,3,2,1,3,5,2,1,199,44
199,4,4,1,3,1,4,2,3,2,2,1,2,4,3,1,1,4,4,2,200,48
200,4,4,3,3,4,1,3,2,1,2,1,4,4,1,1,2,2,1,4,201,47
201,4,2,1,1,1,1,3,2,2,1,4,1,3,1,1,5,1,1,5,202,40
202,2,3,1,4,4,2,1,1,3,3,4,1,4,1,1,3,3,2,3,203,46
203,1,4,4,3,3,3,2,2,3,1,2,1,3,4,4,4,1,4,5,204,54
204,1,3,1,1,3,2,3,1,2,2,1,1,1,1,4,2,3,5,5,205,42
205,1,4,1,2,2,3,1,2,3,2,4,4,2,2,1,5,3,3,1,206,46
206,2,3,3,2,4,2,3,4,1,3,1,3,3,1,2,4,2,1,1,207,45
207,4,1,3,3,3,4,3,3,3,3,4,2,4,4,2,2,5,2,2,208,57
208,2,4,4,3,2,3,4,2,4,1,2,4,4,1,2,2,4,4,2,209,54
209,3,2,1,4,3,4,4,2,1,1,2,4,1,3,3,1,5,4,4,210,52
210,4,1,4,3,3,1,1,3,2,2,2,1,2,2,5,3,4,3,3,211,49
211,3,2,1,2,1,2,4,1,4,4,1,4,2,4,1,2,5,2,3,212,48
212,1,4,3,4,2,1,4,2,2,2,1,2,3,4,4,1,1,3,5,213,49
213,1,4,3,1,4,2,3,2,3,3,1,3,1,2,5,4,5,3,2,214,52
214,2,1,4,1,3,1,2,2,3,4,4,1,3,4,1,1,4,1,3,215,45
215,4,3,2,2,2,1,1,4,2,3,3,2,4,4,2,3,3,4,4,216,53
216,1,1,2,3,1,1,1,4,4,3,1,2,4,2,5,3,1,1,4,217,44
217,1,2,3,1,4,4,4,4,1,1,4,2,2,2,2,1,1,3,4,218,46
218,3,3,3,1,2,3,2,1,1,4,2,1,4,2,1,5,4,4,2,219,48
219,4,3,4,1,2,1,2,4,1,4,4,1,1,2,3,3,5,2,2,220,49
220,2,2,3,1,2,4,1,3,1,4,3,4,4,2,5,1,2,4,2,221,50
221,2,1,4,3,2,2,3,3,3,4,2,3,2,1,5,2,5,3,5,222,55
222,2,3,4,1,1,1,3,2,3,1,3,4,4,2,3,4,5,2,5,223,53
223,1,2,1,2,2,4,4,2,4,3,4,3,1,2,5,5,4,4,1,224,54
224,1,1,2,3,3,3,1,4,2,3,3,1,4,2,5,3,5,2,1,225,49
225,3,3,3,2,3,3,2,1,2,2,3,3,3,4,5,4,3,2,4,226,55
226,1,1,1,4,2,4,3,1,2,2,2,3,4,2,4,2,5,3,5,227,51
227,4,2,2,4,4,4,3,2,4,1,3,1,3,3,3,5,3,4,2,228,57
228,1,3,2,4,2,1,2,1,1,4,2,3,3,4,4,2,3,4,4,229,50
229,3,2,1,3,3,3,2,3,1,2,2,1,4,4,2,1,5,5,5,230,52
230,3,4,3,3,2,4,3,3,1,3,4,4,1,4,4,1,5,5,4,231,61
231,4,4,3,2,3,4,2,2,3,2,4,2,4,4,4,5,1,4,3,232,60
232,2,4,2,1,4,2,4,4,2,3,3,3,1,4,2,3,2,2,4,233,52
233,4,1,4,1,2,4,1,2,1,2,4,1,1,4,4,4,4,2,2,234,48
234,4,4,1,3,4,4,4,2,4,2,3,4,2,1,2,3,2,4,2,235,55
235,1,3,3,2,2,2,4,3,2,4,1,3,3,1,1,3,3,1,2,236,44
236,2,4,3,3,1,2,3,1,2,4,4,2,2,3,5,4,2,1,1,237,49
237,3,3,2,4,2,2,4,3,2,2,3,3,4,3,5,4,5,2,1,238,57
238,4,2,2,2,2,4,1,3,3,2,3,2,2,2,1,2,4,3,2,239,46
239,2,1,1,4,2,2,4,3,3,2,2,1,2,4,1,5,2,3,3,240,47
240,4,2,2,3,3,4,3,4,1,1,3,3,2,4,1,4,4,4,5,241,57
241,1,4,1,1,1,4,3,1,2,4,2,4,3,3,4,5,3,2,4,242,52
242,3,3,2,3,3,3,3,1,1,3,3,1,1,4,2,1,4,2,1,243,44
243,3,3,4,2,1,2,3,3,4,4,4,1,3,2,1,5,2,1,3,244,51
244,3,3,2,3,3,1,4,1,4,1,4,1,1,2,3,1,2,4,5,245,48
245,1,2,1,4,3,3,3,4,1,2,1,1,3,3,3,1,5,2,3,246,46
246,4,4,1,1,3,3,2,3,1,1,1,3,4,1,2,2,1,2,3,247,42
247,1,1,2,2,3,4,1,2,1,2,4,1,3,2,5,5,5,1,2,248,47
248,2,4,4,3,2,2,3,3,4,1,3,4,1,4,4,1,5,5,4,249,59
249,4,2,4,4,3,3,1,3,1,3,1,4,2,3,4,3,1,3,1,250,50
250,2,2,2,1,3,4,2,1,3,3,2,3,4,1,1,3,2,1,2,251,42
251,4,4,2,3,2,2,4,3,2,1,4,1,3,1,3,2,3,5,4,252,53
252,1,1,3,3,2,2,2,3,1,1,2,2,4,4,3,4,4,5,3,253,50
253,2,4,2,3,3,2,4,4,3,2,2,2,1,3,3,4,3,4,4,254,55
254,4,1,3,3,3,4,1,1,3,3,2,3,2,2,5,4,3,1,1,255,49
255,2,2,4,2,3,1,2,2,4,2,4,2,4,3,3,5,1,4,2,256,52
256,4,4,4,4,3,1,4,1,1,4,1,3,1,3,5,1,5,2,4,257,55
257,2,3,3,3,2,2,1,4,3,4,1,2,4,4,4,2,2,1,5,258,52
258,2,3,1,3,2,4,4,1,4,4,4,2,3,2,5,2,4,3,3,259,56
259,2,2,2,3,1,4,2,2,3,4,2,4,3,1,3,3,3,1,5,260,50
260,3,2,4,2,1,2,4,4,3,3,2,3,2,4,2,5,3,5,2,261,56
261,3,2,4,1,3,4,1,2,2,4,2,3,3,1,1,3,4,3,5,262,51
262,2,4,4,4,1,3,3,1,4,1,2,1,1,3,4,4,3,1,1,263,47
263,4,3,4,4,4,4,1,4,4,4,3,1,4,3,1,4,1,1,4,264,58
264,4,2,4,3,3,2,4,4,4,3,1,4,2,2,2,2,4,1,2,265,53
265,4,2,1,2,1,4,1,3,4,1,3,3,4,2,2,5,4,1,4,266,51
266,1,2,4,3,1,4,4,2,1,1,2,2,2,3,2,2,4,3,3,267,46
267,1,3,4,4,4,2,1,3,4,4,2,3,4,1,2,5,5,4,2,268,58
268,2,4,2,1,2,1,4,2,2,2,1,3,3,4,3,2,2,1,2,269,43
269,4,2,2,2,1,2,1,4,1,3,2,1,4,4,1,4,4,3,4,270,49
270,1,2,1,1,1,4,2,4,3,3,1,1,4,3,5,5,1,4,1,271,47
271,1,3,2,2,2,1,1,4,2,2,3,2,4,2,2,1,3,4,1,272,42
272,3,1,2,4,2,4,3,2,1,3,3,1,4,1,4,1,5,4,4,273,52
273,3,2,4,2,4,2,4,2,3,2,2,1,4,1,2,3,5,2,3,274,51
274,3,3,1,4,4,1,4,3,3,1,1,2,2,1,1,5,1,3,2,275,45
275,1,3,3,1,4,4,2,4,3,4,3,2,1,2,4,1,2,4,2,276,50
276,3,4,1,4,2,1,3,1,4,2,2,1,3,1,5,4,4,4,5,277,54
277,4,3,2,4,4,1,1,3,2,2,2,4,2,3,3,5,3,2,5,278,55
278,4,3,2,1,1,3,3,1,1,1,4,4,3,1,4,1,4,5,2,279,48
279,4,3,3,2,1,1,3,4,1,2,4,1,2,1,5,2,2,5,5,280,51
280,4,2,2,4,1,1,2,3,4,4,3,1,1,3,4,1,3,4,1,281,48
281,3,3,1,2,3,4,3,2,3,4,1,1,2,3,1,1,1,3,5,282,46
282,2,4,1,4,4,4,1,1,2,2,1,2,3,4,4,3,4,1,1,283,48
283,1,1,2,4,2,3,4,4,3,2,3,1,1,4,3,4,3,4,1,284,50
284,4,3,1,4,2,4,2,3,3,3,1,2,4,1,1,5,4,1,4,285,52
285,1,4,2,3,1,3,4,4,3,3,1,3,1,2,4,2,4,3,4,286,52
286,4,2,4,1,2,3,3,1,2,3,4,1,4,2,3,5,4,4,1,287,53
287,1,3,4,3,2,4,2,1,4,4,1,1,3,1,5,5,3,5,2,288,54
288,1,4,1,3,2,2,2,3,2,4,2,4,3,1,4,2,1,4,2,289,47
289,3,2,4,3,2,2,2,1,1,3,3,1,3,4,4,1,4,4,1,290,48
290,2,1,3,3,4,3,2,4,3,1,3,1,2,4,5,2,2,2,1,291,48
291,3,4,4,1,1,4,4,4,1,1,2,4,3,1,3,2,5,1,5,292,53
292,4,3,4,2,4,2,1,4,3,3,1,1,4,4,5,3,2,1,5,293,56
293,1,4,4,3,2,4,3,1,4,4,4,4,1,1,3,5,1,5,5,294,59
294,1,3,1,4,2,4,1,4,2,2,1,4,1,4,2,2,4,5,5,295,52
295,2,2,1,4,3,4,1,4,3,1,4,2,3,1,3,5,5,1,4,296,53
296,3,4,3,2,2,2,4,2,3,4,4,1,4,3,4,5,2,5,5,297,62
297,2,2,4,1,3,3,3,1,2,4,3,3,2,3,1,5,2,2,2,298,48
298,1,2,4,3,2,2,1,3,1,1,3,1,3,3,4,2,2,3,5,299,46
299,2,1,2,3,2,1,3,1,3,4,2,1,1,2,3,5,3,3,4,300,46
300,3,2,1,4,3,1,1,4,3,1,4,1,1,4,1,3,4,2,3,301,46
301,2,3,1,4,2,1,2,3,3,1,1,4,3,2,5,4,1,5,3,302,50
302,3,2,4,3,3,1,3,3,4,3,4,2,3,3,4,2,1,5,5,303,58
303,1,3,2,4,1,2,1,1,2,2,3,3,3,3,2,5,3,3,4,304,48
304,1,4,3,1,1,4,2,4,3,4,1,3,4,2,1,4,5,2,4,305,53
305,3,1,1,2,2,4,2,1,4,4,3,4,1,2,5,1,1,2,3,306,46
306,3,4,4,3,1,4,4,2,4,1,2,1,4,3,2,1,5,4,1,307,53
307,3,4,2,4,3,2,1,2,3,1,1,1,2,3,5,2,4,3,3,308,49
308,2,1,2,1,2,2,3,3,4,4,3,4,3,4,3,4,5,1,3,309,54
309,1,3,2,4,2,2,4,3,4,2,1,2,2,2,4,5,5,3,3,310,54
